facility_name,facility_id,state,measure_name,number_of_discharges,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date,condition_name,risk_tier,deviation_from_national,penalty_flag,state_avg_ratio,hospital_rank_in_state,deviation_from_state_avg,estimated_penalty_cost
King'S Daughters' Medical Center,180009,KY,READM-30-COPD-HRRP,321.0,1.0191,20.4216,20.0382,67.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0191,True,1.0084,22,0.0107,1908.98
King'S Daughters' Medical Center,180009,KY,READM-30-CABG-HRRP,113.0,0.9998,10.625,10.6276,12.0,2021-07-01,2024-06-30,CABG,LOW,-0.0002,False,0.9628,6,0.037,0.0
King'S Daughters' Medical Center,180009,KY,READM-30-AMI-HRRP,360.0,0.9931,13.9872,14.0838,50.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0069,False,1.011,17,-0.0179,0.0
Saint Joseph Hospital,180010,KY,READM-30-PN-HRRP,368.0,1.0625,18.4268,17.3436,72.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0625,True,1.006,14,0.0565,6246.68
Saint Joseph Hospital,180010,KY,READM-30-HIP-KNEE-HRRP,,1.0822,8.2527,7.6261,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0822,True,1.0842,8,-0.002,8215.63
Saint Joseph Hospital,180010,KY,READM-30-HF-HRRP,319.0,1.1035,22.7779,20.642,80.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.1035,True,1.0089,4,0.0946,10344.5
Saint Joseph Hospital,180010,KY,READM-30-COPD-HRRP,47.0,1.0123,21.3644,21.1048,11.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0123,True,1.0084,27,0.0039,1229.35
Saint Joseph Hospital,180010,KY,READM-30-CABG-HRRP,,0.9953,9.2125,9.2563,,2021-07-01,2024-06-30,CABG,LOW,-0.0047,False,0.9628,7,0.0325,0.0
Saint Joseph Hospital,180010,KY,READM-30-AMI-HRRP,182.0,1.0416,13.6997,13.1531,27.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0416,True,1.011,12,0.0306,4157.79
Saint Joseph London,180011,KY,READM-30-PN-HRRP,222.0,0.9611,16.065,16.7152,33.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0389,False,1.006,41,-0.0449,0.0
Saint Joseph London,180011,KY,READM-30-HIP-KNEE-HRRP,,1.1094,7.148,6.443,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.1094,True,1.0842,7,0.0252,10934.18
Saint Joseph London,180011,KY,READM-30-HF-HRRP,228.0,1.0887,23.0786,21.1978,59.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0887,True,1.0089,6,0.0798,8865.28
Saint Joseph London,180011,KY,READM-30-COPD-HRRP,,1.0179,19.2026,18.8648,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0179,True,1.0084,23,0.0095,1789.05
Saint Joseph London,180011,KY,READM-30-AMI-HRRP,,0.9859,13.2126,13.4018,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0141,False,1.011,21,-0.0251,0.0
Baptist Health Hardin,180012,KY,READM-30-PN-HRRP,740.0,1.1169,18.0403,16.1518,141.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.1169,True,1.006,4,0.1109,11683.79
Baptist Health Hardin,180012,KY,READM-30-HF-HRRP,567.0,0.9552,18.5703,19.4417,102.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0448,False,1.0089,47,-0.0537,0.0
Baptist Health Hardin,180012,KY,READM-30-COPD-HRRP,229.0,1.0315,18.2232,17.6669,44.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0315,True,1.0084,17,0.0231,3148.33
Baptist Health Hardin,180012,KY,READM-30-AMI-HRRP,134.0,0.9795,12.7298,12.9968,16.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0205,False,1.011,24,-0.0315,0.0
The Medical Center (Bowling Green),180013,KY,READM-30-PN-HRRP,453.0,0.8418,13.7729,16.3609,51.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.1582,False,1.006,59,-0.1642,0.0
The Medical Center (Bowling Green),180013,KY,READM-30-HF-HRRP,528.0,0.9388,18.8574,20.0872,95.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0612,False,1.0089,50,-0.0701,0.0
The Medical Center (Bowling Green),180013,KY,READM-30-COPD-HRRP,157.0,0.9796,18.8155,19.2079,28.0,2021-07-01,2024-06-30,COPD,LOW,-0.0204,False,1.0084,37,-0.0288,0.0
The Medical Center (Bowling Green),180013,KY,READM-30-CABG-HRRP,173.0,0.8921,9.2043,10.317,13.0,2021-07-01,2024-06-30,CABG,LOW,-0.1079,False,0.9628,12,-0.0707,0.0
The Medical Center (Bowling Green),180013,KY,READM-30-AMI-HRRP,340.0,1.0946,14.8102,13.5304,55.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0946,True,1.011,5,0.0836,9454.97
Uofl Health - Shelbyville Hospital,180016,KY,READM-30-PN-HRRP,,0.9368,12.8164,13.6813,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0632,False,1.006,48,-0.0692,0.0
Uofl Health - Shelbyville Hospital,180016,KY,READM-30-HF-HRRP,,1.0011,19.7642,19.7419,,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0011,True,1.0089,31,-0.0078,109.94
Uofl Health - Shelbyville Hospital,180016,KY,READM-30-COPD-HRRP,,0.9832,17.4704,17.7685,,2021-07-01,2024-06-30,COPD,LOW,-0.0168,False,1.0084,35,-0.0252,0.0
T J Samson Community Hospital,180017,KY,READM-30-PN-HRRP,282.0,1.0269,15.3368,14.9357,45.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0269,True,1.006,24,0.0209,2688.57
T J Samson Community Hospital,180017,KY,READM-30-HIP-KNEE-HRRP,,0.9636,5.286,5.4856,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0364,False,1.0842,11,-0.1206,0.0
T J Samson Community Hospital,180017,KY,READM-30-HF-HRRP,280.0,1.0319,19.9026,19.287,58.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0319,True,1.0089,20,0.023,3188.3
T J Samson Community Hospital,180017,KY,READM-30-COPD-HRRP,120.0,0.9713,16.7502,17.2449,18.0,2021-07-01,2024-06-30,COPD,LOW,-0.0287,False,1.0084,41,-0.0371,0.0
T J Samson Community Hospital,180017,KY,READM-30-AMI-HRRP,,0.8737,10.539,12.0623,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.1263,False,1.011,30,-0.1373,0.0
St Claire Regional Medical Center,180018,KY,READM-30-PN-HRRP,238.0,1.1067,19.343,17.4773,53.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.1067,True,1.006,5,0.1007,10664.33
St Claire Regional Medical Center,180018,KY,READM-30-HF-HRRP,163.0,1.0217,21.1144,20.6662,36.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0217,True,1.0089,26,0.0128,2168.85
St Claire Regional Medical Center,180018,KY,READM-30-COPD-HRRP,,1.0177,19.6725,19.3305,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0177,True,1.0084,25,0.0093,1769.06
St Claire Regional Medical Center,180018,KY,READM-30-AMI-HRRP,,1.0127,13.8204,13.6474,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0127,True,1.011,14,0.0017,1269.32
Meadowview Regional Medical Center,180019,KY,READM-30-PN-HRRP,113.0,0.9311,16.6702,17.9037,14.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0689,False,1.006,50,-0.0749,0.0
Meadowview Regional Medical Center,180019,KY,READM-30-HF-HRRP,101.0,0.9624,18.5696,19.2947,16.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0376,False,1.0089,45,-0.0465,0.0
Meadowview Regional Medical Center,180019,KY,READM-30-COPD-HRRP,,1.005,18.5171,18.4251,,2021-07-01,2024-06-30,COPD,MEDIUM,0.005,True,1.0084,29,-0.0034,499.73
Meadowview Regional Medical Center,180019,KY,READM-30-AMI-HRRP,,0.9568,13.7539,14.3755,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0432,False,1.011,26,-0.0542,0.0
Middlesboro Arh Hospital,180020,KY,READM-30-PN-HRRP,77.0,1.0517,16.4364,15.6285,16.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0517,True,1.006,18,0.0457,5167.25
Middlesboro Arh Hospital,180020,KY,READM-30-HF-HRRP,,1.0026,20.6348,20.5809,,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0026,True,1.0089,30,-0.0063,259.86
Middlesboro Arh Hospital,180020,KY,READM-30-COPD-HRRP,,1.0528,16.5637,15.7325,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0528,True,1.0084,6,0.0444,5277.19
Spring View Hospital,180024,KY,READM-30-PN-HRRP,,0.8988,12.1641,13.534,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.1012,False,1.006,56,-0.1072,0.0
Spring View Hospital,180024,KY,READM-30-HIP-KNEE-HRRP,,0.9536,4.6663,4.8934,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0464,False,1.0842,12,-0.1306,0.0
Spring View Hospital,180024,KY,READM-30-HF-HRRP,,0.9792,17.6741,18.0505,,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0208,False,1.0089,36,-0.0297,0.0
Spring View Hospital,180024,KY,READM-30-COPD-HRRP,,0.9456,15.992,16.9124,,2021-07-01,2024-06-30,COPD,LOW,-0.0544,False,1.0084,45,-0.0628,0.0
Chi Saint Joseph Flaget Memorial Hospital,180025,KY,READM-30-PN-HRRP,96.0,0.9878,16.4833,16.6863,15.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0122,False,1.006,36,-0.0182,0.0
Chi Saint Joseph Flaget Memorial Hospital,180025,KY,READM-30-HF-HRRP,107.0,1.0228,20.8756,20.4098,24.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0228,True,1.0089,25,0.0139,2278.79
Murray-Calloway County Hospital,180027,KY,READM-30-PN-HRRP,244.0,1.0298,14.7866,14.3594,38.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0298,True,1.006,23,0.0238,2978.42
Murray-Calloway County Hospital,180027,KY,READM-30-HIP-KNEE-HRRP,,1.0121,5.4002,5.3355,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0121,True,1.0842,10,-0.0721,1209.36
Murray-Calloway County Hospital,180027,KY,READM-30-HF-HRRP,122.0,1.0951,20.0318,18.2914,31.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0951,True,1.0089,5,0.0862,9504.94
Murray-Calloway County Hospital,180027,KY,READM-30-COPD-HRRP,,0.9498,15.7434,16.5759,,2021-07-01,2024-06-30,COPD,LOW,-0.0502,False,1.0084,44,-0.0586,0.0
Murray-Calloway County Hospital,180027,KY,READM-30-AMI-HRRP,126.0,0.9411,11.1077,11.8025,11.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0589,False,1.011,27,-0.0699,0.0
Hazard Arh Regional Medical Center,180029,KY,READM-30-PN-HRRP,260.0,1.0786,20.2776,18.8004,58.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0786,True,1.006,9,0.0726,7855.82
Hazard Arh Regional Medical Center,180029,KY,READM-30-HF-HRRP,128.0,0.9916,22.3713,22.5617,28.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0084,False,1.0089,33,-0.0173,0.0
Hazard Arh Regional Medical Center,180029,KY,READM-30-COPD-HRRP,73.0,1.0553,22.9956,21.7906,21.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0553,True,1.0084,5,0.0469,5527.06
Hazard Arh Regional Medical Center,180029,KY,READM-30-AMI-HRRP,80.0,1.087,15.8389,14.5716,17.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.087,True,1.011,7,0.076,8695.37
St Elizabeth Edgewood,180035,KY,READM-30-PN-HRRP,588.0,1.0627,17.6613,16.6196,108.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0627,True,1.006,13,0.0567,6266.67
St Elizabeth Edgewood,180035,KY,READM-30-HIP-KNEE-HRRP,,0.9026,6.0664,6.7207,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0974,False,1.0842,13,-0.1816,0.0
St Elizabeth Edgewood,180035,KY,READM-30-HF-HRRP,791.0,0.9654,19.2854,19.976,150.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0346,False,1.0089,43,-0.0435,0.0
St Elizabeth Edgewood,180035,KY,READM-30-COPD-HRRP,322.0,1.0777,22.1125,20.5183,77.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0777,True,1.0084,2,0.0693,7765.87
St Elizabeth Edgewood,180035,KY,READM-30-CABG-HRRP,128.0,0.9287,10.0869,10.8608,11.0,2021-07-01,2024-06-30,CABG,LOW,-0.0713,False,0.9628,9,-0.0341,0.0
St Elizabeth Edgewood,180035,KY,READM-30-AMI-HRRP,386.0,1.1605,15.6301,13.4687,68.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.1605,True,1.011,3,0.1495,16041.47
Owensboro Health Regional Hospital,180038,KY,READM-30-PN-HRRP,604.0,1.0652,17.8308,16.7392,112.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0652,True,1.006,11,0.0592,6516.53
Owensboro Health Regional Hospital,180038,KY,READM-30-HF-HRRP,579.0,0.9262,18.9218,20.4284,104.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0738,False,1.0089,55,-0.0827,0.0
Owensboro Health Regional Hospital,180038,KY,READM-30-COPD-HRRP,193.0,1.0707,18.1508,16.952,40.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0707,True,1.0084,4,0.0623,7066.24
Owensboro Health Regional Hospital,180038,KY,READM-30-CABG-HRRP,,0.9027,8.5189,9.4375,,2021-07-01,2024-06-30,CABG,LOW,-0.0973,False,0.9628,11,-0.0601,0.0
Owensboro Health Regional Hospital,180038,KY,READM-30-AMI-HRRP,252.0,0.9297,12.5691,13.5196,28.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0703,False,1.011,28,-0.0813,0.0
Uofl Health - Jewish Hospital And Mary & Elizabeth Hospital,180040,KY,READM-30-PN-HRRP,469.0,0.994,17.1447,17.2477,80.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.006,False,1.006,34,-0.012,0.0
Uofl Health - Jewish Hospital And Mary & Elizabeth Hospital,180040,KY,READM-30-HIP-KNEE-HRRP,,0.8334,4.3756,5.25,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.1666,False,1.0842,14,-0.2508,0.0
Uofl Health - Jewish Hospital And Mary & Elizabeth Hospital,180040,KY,READM-30-HF-HRRP,552.0,1.1152,22.6275,20.2905,133.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.1152,True,1.0089,1,0.1063,11513.88
Uofl Health - Jewish Hospital And Mary & Elizabeth Hospital,180040,KY,READM-30-COPD-HRRP,160.0,0.9817,18.9989,19.3526,29.0,2021-07-01,2024-06-30,COPD,LOW,-0.0183,False,1.0084,36,-0.0267,0.0
Uofl Health - Jewish Hospital And Mary & Elizabeth Hospital,180040,KY,READM-30-CABG-HRRP,149.0,0.9302,10.6675,11.4679,14.0,2021-07-01,2024-06-30,CABG,LOW,-0.0698,False,0.9628,8,-0.0326,0.0
Uofl Health - Jewish Hospital And Mary & Elizabeth Hospital,180040,KY,READM-30-AMI-HRRP,288.0,1.0378,13.9234,13.4162,42.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0378,True,1.011,13,0.0268,3777.99
Adventhealthmanchester,180043,KY,READM-30-PN-HRRP,71.0,0.9735,18.0846,18.5766,11.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0265,False,1.006,38,-0.0325,0.0
Adventhealthmanchester,180043,KY,READM-30-HF-HRRP,68.0,1.0654,22.4257,21.0489,20.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0654,True,1.0089,11,0.0565,6536.52
Pikeville Medical Center,180044,KY,READM-30-PN-HRRP,458.0,1.0899,18.7946,17.2446,92.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0899,True,1.006,8,0.0839,8985.22
Pikeville Medical Center,180044,KY,READM-30-HF-HRRP,270.0,1.024,21.9377,21.4229,61.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.024,True,1.0089,24,0.0151,2398.72
Pikeville Medical Center,180044,KY,READM-30-COPD-HRRP,168.0,1.0384,20.3187,19.5674,37.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0384,True,1.0084,14,0.03,3837.96
Pikeville Medical Center,180044,KY,READM-30-CABG-HRRP,,1.082,12.0401,11.1276,,2021-07-01,2024-06-30,CABG,MEDIUM,0.082,True,0.9628,2,0.1192,8195.64
Pikeville Medical Center,180044,KY,READM-30-AMI-HRRP,166.0,1.0662,14.2805,13.3934,27.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0662,True,1.011,9,0.0552,6616.48
St Elizabeth Florence,180045,KY,READM-30-PN-HRRP,315.0,1.0577,17.5194,16.5629,59.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0577,True,1.006,17,0.0517,5766.93
St Elizabeth Florence,180045,KY,READM-30-HF-HRRP,258.0,0.9776,19.63,20.08,49.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0224,False,1.0089,38,-0.0313,0.0
St Elizabeth Florence,180045,KY,READM-30-COPD-HRRP,167.0,1.0168,18.4198,18.1152,32.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0168,True,1.0084,26,0.0084,1679.11
Bourbon Community Hospital,180046,KY,READM-30-PN-HRRP,,0.9601,16.1015,16.7704,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0399,False,1.006,43,-0.0459,0.0
Bourbon Community Hospital,180046,KY,READM-30-HF-HRRP,,0.9835,17.6459,17.9418,,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0165,False,1.0089,35,-0.0254,0.0
Ephraim Mcdowell Regional Medical Center,180048,KY,READM-30-PN-HRRP,362.0,1.0242,15.3088,14.947,57.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0242,True,1.006,25,0.0182,2418.71
Ephraim Mcdowell Regional Medical Center,180048,KY,READM-30-HF-HRRP,252.0,0.9305,17.5085,18.8172,39.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0695,False,1.0089,53,-0.0784,0.0
Ephraim Mcdowell Regional Medical Center,180048,KY,READM-30-COPD-HRRP,98.0,0.9425,17.7311,18.8134,13.0,2021-07-01,2024-06-30,COPD,LOW,-0.0575,False,1.0084,46,-0.0659,0.0
Ephraim Mcdowell Regional Medical Center,180048,KY,READM-30-AMI-HRRP,115.0,1.085,11.3281,10.4409,17.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.085,True,1.011,8,0.074,8495.48
Baptist Health Richmond,180049,KY,READM-30-PN-HRRP,197.0,0.9221,15.4556,16.7606,25.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0779,False,1.006,52,-0.0839,0.0
Baptist Health Richmond,180049,KY,READM-30-HF-HRRP,183.0,0.9347,19.0654,20.397,30.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0653,False,1.0089,51,-0.0742,0.0
Baptist Health Richmond,180049,KY,READM-30-COPD-HRRP,77.0,1.0411,19.4264,18.6589,18.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0411,True,1.0084,13,0.0327,4107.81
Baptist Health Richmond,180049,KY,READM-30-AMI-HRRP,,0.9904,11.6231,11.7363,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0096,False,1.011,18,-0.0206,0.0
Harlan Arh Hospital,180050,KY,READM-30-PN-HRRP,168.0,1.0991,19.8964,18.1022,40.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0991,True,1.006,7,0.0931,9904.73
Harlan Arh Hospital,180050,KY,READM-30-HF-HRRP,50.0,1.0694,22.0628,20.631,16.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0694,True,1.0089,9,0.0605,6936.31
Harlan Arh Hospital,180050,KY,READM-30-COPD-HRRP,56.0,1.0322,20.7318,20.0859,14.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0322,True,1.0084,16,0.0238,3218.29
Jennie Stuart Medical Center,180051,KY,READM-30-PN-HRRP,233.0,1.0653,15.3834,14.4406,40.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0653,True,1.006,10,0.0593,6526.53
Jennie Stuart Medical Center,180051,KY,READM-30-HF-HRRP,109.0,0.987,19.2135,19.4674,20.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.013,False,1.0089,34,-0.0219,0.0
Jennie Stuart Medical Center,180051,KY,READM-30-COPD-HRRP,110.0,0.9275,16.8356,18.1521,13.0,2021-07-01,2024-06-30,COPD,LOW,-0.0725,False,1.0084,48,-0.0809,0.0
Deaconess Henderson Hospital,180056,KY,READM-30-PN-HRRP,143.0,0.9648,14.2238,14.7422,18.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0352,False,1.006,40,-0.0412,0.0
Deaconess Henderson Hospital,180056,KY,READM-30-HF-HRRP,173.0,1.075,20.6757,19.2336,41.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.075,True,1.0089,7,0.0661,7496.01
Deaconess Henderson Hospital,180056,KY,READM-30-COPD-HRRP,,0.9746,17.937,18.4046,,2021-07-01,2024-06-30,COPD,LOW,-0.0254,False,1.0084,39,-0.0338,0.0
Saint Joseph Mount Sterling,180064,KY,READM-30-PN-HRRP,91.0,0.9998,18.6963,18.6999,17.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0002,False,1.006,33,-0.0062,0.0
Saint Joseph Mount Sterling,180064,KY,READM-30-HF-HRRP,65.0,1.0116,20.2399,20.0081,14.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0116,True,1.0089,29,0.0027,1159.38
The Medical Center At Russellville,180066,KY,READM-30-PN-HRRP,,0.9714,14.3239,14.7451,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0286,False,1.006,39,-0.0346,0.0
The Medical Center At Russellville,180066,KY,READM-30-HF-HRRP,,1.0298,17.6498,17.1393,,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0298,True,1.0089,22,0.0209,2978.42
University Of Kentucky Hospital,180067,KY,READM-30-PN-HRRP,259.0,0.9156,17.4122,19.0182,39.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0844,False,1.006,55,-0.0904,0.0
University Of Kentucky Hospital,180067,KY,READM-30-HF-HRRP,312.0,0.9051,19.9866,22.0828,55.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0949,False,1.0089,57,-0.1038,0.0
University Of Kentucky Hospital,180067,KY,READM-30-COPD-HRRP,111.0,0.9506,20.663,21.7362,19.0,2021-07-01,2024-06-30,COPD,LOW,-0.0494,False,1.0084,43,-0.0578,0.0
University Of Kentucky Hospital,180067,KY,READM-30-CABG-HRRP,,0.8426,8.7958,10.4392,,2021-07-01,2024-06-30,CABG,LOW,-0.1574,False,0.9628,13,-0.1202,0.0
University Of Kentucky Hospital,180067,KY,READM-30-AMI-HRRP,161.0,0.8588,12.2154,14.2239,12.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.1412,False,1.011,31,-0.1522,0.0
Tug Valley Arh Regional Medical Center,180069,KY,READM-30-PN-HRRP,128.0,1.1823,23.3288,19.7316,42.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.1823,True,1.006,1,0.1763,18220.31
Tug Valley Arh Regional Medical Center,180069,KY,READM-30-HF-HRRP,71.0,1.0431,20.9797,20.1137,18.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0431,True,1.0089,16,0.0342,4307.71
Tug Valley Arh Regional Medical Center,180069,KY,READM-30-COPD-HRRP,99.0,1.05,20.4829,19.5077,24.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.05,True,1.0084,9,0.0416,4997.34
Owensboro Health Twin Lakes Medical Center,180070,KY,READM-30-PN-HRRP,112.0,0.9287,15.1049,16.2644,12.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0713,False,1.006,51,-0.0773,0.0
Owensboro Health Twin Lakes Medical Center,180070,KY,READM-30-HF-HRRP,87.0,1.0484,20.2066,19.2743,21.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0484,True,1.0089,14,0.0395,4837.43
Owensboro Health Twin Lakes Medical Center,180070,KY,READM-30-COPD-HRRP,,1.0049,16.6266,16.5461,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0049,True,1.0084,30,-0.0035,489.74
Paintsville Arh Hospital,180078,KY,READM-30-PN-HRRP,132.0,1.1367,18.4065,16.1933,33.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.1367,True,1.006,3,0.1307,13662.73
Paintsville Arh Hospital,180078,KY,READM-30-HF-HRRP,,1.0419,20.607,19.7785,,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0419,True,1.0089,17,0.033,4187.77
Paintsville Arh Hospital,180078,KY,READM-30-COPD-HRRP,,1.0258,19.334,18.847,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0258,True,1.0084,19,0.0174,2578.63
Harrison Memorial Hospital,180079,KY,READM-30-PN-HRRP,102.0,1.0348,13.5262,13.071,16.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0348,True,1.006,21,0.0288,3478.15
Harrison Memorial Hospital,180079,KY,READM-30-HF-HRRP,,0.9289,15.5902,16.7831,,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0711,False,1.0089,54,-0.08,0.0
Harrison Memorial Hospital,180079,KY,READM-30-COPD-HRRP,,0.9885,14.0961,14.26,,2021-07-01,2024-06-30,COPD,LOW,-0.0115,False,1.0084,33,-0.0199,0.0
Harrison Memorial Hospital,180079,KY,READM-30-AMI-HRRP,,0.9884,10.8854,11.0136,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0116,False,1.011,20,-0.0226,0.0
Baptist Health Corbin,180080,KY,READM-30-PN-HRRP,279.0,0.8556,15.9804,18.6767,34.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.1444,False,1.006,58,-0.1504,0.0
Baptist Health Corbin,180080,KY,READM-30-HF-HRRP,160.0,0.9772,22.9756,23.5127,35.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0228,False,1.0089,39,-0.0317,0.0
Baptist Health Corbin,180080,KY,READM-30-COPD-HRRP,81.0,0.9407,20.5528,21.8484,12.0,2021-07-01,2024-06-30,COPD,LOW,-0.0593,False,1.0084,47,-0.0677,0.0
Baptist Health Corbin,180080,KY,READM-30-AMI-HRRP,,0.9854,13.9057,14.112,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0146,False,1.011,22,-0.0256,0.0
Taylor Regional Hospital,180087,KY,READM-30-PN-HRRP,116.0,0.9201,15.0929,16.4034,12.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0799,False,1.006,53,-0.0859,0.0
Taylor Regional Hospital,180087,KY,READM-30-HF-HRRP,111.0,0.979,20.3135,20.7488,21.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.021,False,1.0089,37,-0.0299,0.0
